code,name,registred,envelops,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
535427,Bakov nad Jizerou,3922,2551,2539,2,3,153,1,285,32,1,179,36,27,252,204,3
535443,Bělá pod Bezdězem,3805,2219,2204,4,0,153,4,215,33,1,107,33,28,218,214,2
535451,Benátky nad Jizerou,5596,3269,3254,4,2,198,3,533,24,3,176,58,58,323,225,12
535478,Bezno,687,402,401,0,0,43,0,27,4,0,14,6,3,21,31,1
565750,Bílá Hlína,85,61,61,0,0,8,0,2,3,0,4,0,1,7,5,0
535486,Bítouchov,291,195,195,0,0,31,0,17,3,0,10,2,0,17,7,0
535508,Boreč,216,97,97,0,0,8,3,10,1,0,9,2,0,3,4,0
535516,Boseň,382,251,250,0,0,11,0,23,3,0,36,5,4,24,12,0
570788,Bradlec,891,705,700,0,0,38,0,135,5,1,33,8,8,104,17,4
571946,Branžež,204,138,137,0,0,5,0,15,3,0,27,0,2,16,6,0
535559,Brodce,836,515,513,2,1,43,0,46,1,0,44,9,6,38,26,1
535567,Březina,341,239,236,0,0,12,0,30,3,0,29,5,0,26,11,0
535583,Březno,721,472,471,1,0,23,2,60,4,0,40,14,4,57,36,2
599514,Březovice,240,143,143,1,0,10,0,19,1,0,16,0,1,10,18,0
535605,Bukovno,559,346,338,0,0,28,0,27,4,0,36,0,7,27,21,0
570991,Ctiměřice,99,74,74,0,0,3,0,12,0,0,3,0,1,10,3,1
535621,Čachovice,696,367,366,0,1,49,0,36,10,2,22,6,3,25,37,2
535630,Čistá,608,368,366,1,0,30,0,45,5,1,25,5,2,32,27,0
570818,Dalovice,169,120,120,0,1,4,0,18,5,0,10,1,1,9,9,1
535656,Dlouhá Lhota,328,239,235,0,0,19,0,37,0,0,17,4,5,19,12,0
535672,Dobrovice,2630,1714,1706,1,0,111,3,189,23,3,77,13,35,172,156,6
571989,Dobšín,212,148,146,0,0,9,0,14,5,0,14,0,1,16,9,0
535702,Dolní Bousov,2052,1289,1283,0,4,85,1,121,27,2,97,14,11,146,91,1
535711,Dolní Krupá,194,96,96,0,1,9,0,10,2,0,10,3,0,3,13,0
535729,Dolní Slivno,275,163,163,0,0,12,0,21,1,1,23,0,0,18,8,2
570940,Dolní Stakory,196,152,152,0,0,5,0,21,2,0,9,0,1,12,9,0
535745,Domousnice,213,130,129,0,0,17,0,10,1,0,11,5,5,14,12,1
571067,Doubravička,102,70,70,0,0,4,0,6,2,0,11,0,0,6,1,0
535818,Horky nad Jizerou,420,268,267,0,0,12,0,32,5,0,11,2,4,30,24,1
535834,Horní Bukovina,197,132,132,0,0,7,0,6,4,0,19,0,2,15,12,0
599531,Horní Slivno,227,126,126,0,0,2,0,11,0,0,20,3,1,9,9,0
535869,Hrdlořezy,517,336,335,0,0,32,0,55,4,0,22,6,8,19,27,0
565733,Hrušov,161,102,102,0,0,16,0,3,3,1,6,2,0,9,11,0
599522,Husí Lhota,121,95,95,0,0,5,1,10,1,0,10,0,1,9,5,0
565784,Charvatce,212,144,143,0,0,15,0,19,1,0,6,0,3,17,6,1
535923,Chocnějovice,339,209,207,1,0,23,0,22,3,0,21,1,0,27,16,0
535931,Chotětov,801,420,419,2,0,38,1,48,5,2,20,6,5,41,16,1
571849,Chudíř,162,111,111,0,0,3,1,10,1,0,7,2,2,9,13,0
535966,Jabkenice,353,225,225,1,0,19,1,22,0,0,13,2,3,23,15,0
535974,Jivina,362,248,247,0,0,24,0,26,6,0,23,3,5,22,34,0
566039,Jizerní Vtelno,277,197,196,1,0,4,0,20,3,0,7,2,2,17,13,0
529613,Josefův Důl,331,170,168,0,0,12,0,22,5,0,7,2,1,12,34,0
536008,Katusice,630,356,354,1,0,41,0,22,5,0,29,1,6,39,16,0
536024,Klášter Hradiště nad Jizerou,706,434,433,0,0,31,0,30,9,0,48,4,3,67,44,0
571075,Kluky,66,55,54,0,0,3,0,7,2,0,10,0,1,6,4,0
536041,Kněžmost,1595,1034,1029,1,1,55,2,119,5,0,97,9,13,128,59,2
571172,Kobylnice,107,87,86,0,0,8,0,14,0,0,6,1,1,12,2,1
536067,Kochánky,348,244,243,1,0,22,0,27,1,0,13,6,1,31,18,4
570974,Kolomuty,258,179,177,0,0,18,0,36,0,0,17,1,2,12,15,0
599557,Koryta,69,53,53,0,0,1,0,14,0,0,2,1,1,10,6,0
570826,Kosmonosy,3416,2320,2302,3,0,165,2,305,25,0,150,28,36,223,131,3
536121,Kosořice,383,249,249,0,0,21,1,40,0,1,14,4,3,30,14,0
566047,Košátky,158,102,102,0,0,5,0,9,0,0,4,0,1,12,7,0
571971,Kováň,112,66,66,0,0,9,0,8,0,0,4,2,0,2,3,0
572012,Kovanec,108,60,60,0,0,3,0,10,0,0,5,0,0,4,4,0
536164,Krásná Ves,153,97,97,0,0,12,0,10,1,0,3,2,0,4,4,0
536172,Krnsko,423,293,293,1,0,28,0,51,7,1,17,3,4,33,7,0
536181,Kropáčova Vrutice,721,401,401,0,0,37,1,41,4,1,31,9,1,37,19,2
536202,Ledce,312,230,230,0,0,28,0,17,4,0,16,3,2,33,10,0
